C_V,T,theta/T,theta
21.653,85.652,7.1,304.065
15.582,86.243,2.3,99.179
15.641,87.188,2.3,100.266
18.274,88.369,6.2,273.944
15.636,89.552,2.3,102.985
15.706,90.971,2.3,104.617
13.746,92.746,7.3,338.523
18.387,94.523,6.2,293.021
18.398,96.419,5.2,250.689
18.409,98.199,5.2,255.317
18.392,99.979,6.2,309.935
15.755,101.762,2.3,117.026
18.396,103.665,6.2,321.362
18.408,105.808,5.2,275.101
18.402,107.715,5.2,280.059
15.747,110.221,2.3,126.754
15.74,112.371,2.3,129.227
18.386,114.523,6.2,355.021
15.731,116.319,2.3,133.767
13.737,117.876,7.3,430.247
22.066,118.954,6.1,362.81
18.373,119.673,6.2,370.986
15.706,120.512,2.3,138.589
22.061,121.592,6.1,370.856
18.337,122.553,6.2,379.914
22.026,123.634,6.1,377.084
18.32,124.595,6.2,386.244
18.302,125.798,6.2,389.974
22.004,127.241,6.1,388.085
22.003,128.685,6.1,392.489
18.282,130.372,6.2,404.153
18.263,132.18,6.2,409.758
13.621,133.99,7.3,489.064
17.711,136.043,7.2,489.755
19.713,138.581,2.2,152.439
19.709,141.244,2.2,155.368
22.19,143.789,5.1,366.662
14.673,146.459,5.3,388.116
19.359,149.496,3.2,239.194
19.374,152.659,3.2,244.254
21.149,155.827,8.1,631.099
21.136,158.633,9.1,721.78
19.332,161.198,3.2,257.917
21.095,163.765,9.1,745.131
21.082,166.091,9.1,755.714
19.259,168.296,3.2,269.274
