t,R_P,R_Z,T_P,T_Z,T,U,I,C_p,C_V
46.5,43.6,43.1,132.783,131.577,132.18,12.99,123.3,18.496,18.263
48.0,44.2,44.0,134.231,133.748,133.99,12.99,123.3,13.861,13.621
49.5,45.0,44.9,136.163,135.922,136.043,16.54,157.0,17.961,17.711
51.0,46.0,46.0,138.581,138.581,138.581,16.56,157.1,19.972,19.713
52.5,46.9,47.3,140.76,141.729,141.244,16.57,157.2,19.977,19.709
54.0,47.8,48.5,142.94,144.638,143.789,16.58,157.2,22.467,22.19
55.5,48.6,49.9,144.881,148.037,146.459,16.58,157.2,14.961,14.673
57.0,49.8,51.2,147.794,151.198,149.496,19.02,180.3,19.659,19.359
58.5,51.0,52.6,150.711,154.607,152.659,19.05,180.5,19.686,19.374
60.0,52.2,54.0,153.632,158.021,155.827,19.06,180.6,21.471,21.149
61.5,53.3,55.2,156.314,160.952,158.633,19.07,180.7,21.468,21.136
63.0,54.4,56.2,158.998,163.398,161.198,19.08,180.8,19.676,19.332
64.5,55.6,57.1,161.93,165.601,163.765,19.09,180.8,21.449,21.095
66.0,56.7,57.9,164.621,167.561,166.091,19.1,180.9,21.446,21.082
67.5,57.8,58.6,167.316,169.277,168.296,19.1,180.9,19.634,19.259
69.0,59.0,59.2,170.259,170.749,170.504,21.0,187.3,22.322,21.936
70.5,60.2,59.8,173.205,172.223,172.714,21.0,198.2,20.218,19.819
72.0,61.6,60.4,176.648,173.697,175.173,21.0,198.3,23.566,23.157
73.5,62.8,61.0,179.604,175.172,177.388,21.0,198.4,23.547,23.126
75.0,64.0,61.6,182.563,176.648,179.605,21.0,198.5,23.528,23.096
76.5,65.2,62.4,185.526,178.618,182.072,21.0,198.5,23.497,23.053
78.0,66.4,63.5,188.492,181.329,184.911,21.0,198.5,25.602,25.144
79.5,67.5,64.8,191.215,184.538,187.876,21.0,198.6,25.584,25.113
81.0,68.6,66.6,193.942,188.987,191.464,21.0,198.6,23.423,22.936
82.5,69.8,68.6,196.919,193.942,195.43,21.0,198.6,23.393,22.89
84.0,71.0,70.4,199.901,198.41,199.155,21.0,198.6,23.362,22.844
85.5,72.2,72.2,202.886,202.886,202.886,21.0,198.6,21.536,21.001
87.0,73.5,74.0,206.125,207.372,206.748,21.0,198.7,23.311,22.761
88.5,74.7,75.5,209.119,211.116,210.117,21.0,198.7,25.399,24.835
90.0,75.8,76.9,211.866,214.617,213.241,21.0,198.8,21.475,20.894
91.5,77.1,78.1,215.117,217.621,216.369,21.0,198.8,21.445,20.848
